"","metric","lat","lon","year","value","sp","latforsim"
"sims2mean41.Fitness.29","Fitness",41.9,1,1979,0.996,"Fagus","41"
"sims2mean41.Fitness.30","Fitness",41.9,1,1980,0.996,"Fagus","41"
"sims2mean41.Fitness.31","Fitness",41.9,1,1981,0.992,"Fagus","41"
"sims2mean41.Fitness.32","Fitness",41.9,1,1982,0.998,"Fagus","41"
"sims2mean41.Fitness.33","Fitness",41.9,1,1983,0.948,"Fagus","41"
"sims2mean41.Fitness.34","Fitness",41.9,1,1984,0.996,"Fagus","41"
"sims2mean41.Fitness.35","Fitness",41.9,1,1985,0.969,"Fagus","41"
"sims2mean41.Fitness.36","Fitness",41.9,1,1986,0.989,"Fagus","41"
"sims2mean41.Fitness.37","Fitness",41.9,1,1987,0.987,"Fagus","41"
"sims2mean41.Fitness.38","Fitness",41.9,1,1988,0.997,"Fagus","41"
"sims2mean41.Fitness.39","Fitness",41.9,1,1989,0.996,"Fagus","41"
"sims2mean41.Fitness.40","Fitness",41.9,1,1990,0.997,"Fagus","41"
"sims2mean41.Fitness.41","Fitness",41.9,1,1991,0.995,"Fagus","41"
"sims2mean41.Fitness.42","Fitness",41.9,1,1992,0.996,"Fagus","41"
"sims2mean41.Fitness.43","Fitness",41.9,1,1993,0.996,"Fagus","41"
"sims2mean41.Fitness.44","Fitness",41.9,1,1994,0.997,"Fagus","41"
"sims2mean41.Fitness.45","Fitness",41.9,1,1995,0.997,"Fagus","41"
"sims2mean41.Fitness.46","Fitness",41.9,1,1996,0.996,"Fagus","41"
"sims2mean41.Fitness.47","Fitness",41.9,1,1997,0.997,"Fagus","41"
"sims2mean41.Fitness.48","Fitness",41.9,1,1998,0.996,"Fagus","41"
"sims2mean41.Fitness.49","Fitness",41.9,1,1999,0.996,"Fagus","41"
"sims2mean41.Fitness.50","Fitness",41.9,1,2000,0.996,"Fagus","41"
"sims2mean41.Fitness.51","Fitness",41.9,2,1951,0.994,"Fagus","41"
"sims2mean41.Fitness.52","Fitness",41.9,2,1952,0.998,"Fagus","41"
"sims2mean41.Fitness.53","Fitness",41.9,2,1953,0.996,"Fagus","41"
"sims2mean41.Fitness.54","Fitness",41.9,2,1954,0.994,"Fagus","41"
"sims2mean41.Fitness.55","Fitness",41.9,2,1955,0.997,"Fagus","41"
"sims2mean41.Fitness.56","Fitness",41.9,2,1956,0.99,"Fagus","41"
"sims2mean41.Fitness.57","Fitness",41.9,2,1957,0.998,"Fagus","41"
"sims2mean41.Fitness.58","Fitness",41.9,2,1958,0.997,"Fagus","41"
"sims2mean41.Fitness.59","Fitness",41.9,2,1959,0.998,"Fagus","41"
"sims2mean41.Fitness.60","Fitness",41.9,2,1960,0.969,"Fagus","41"
"sims2mean41.Fitness.61","Fitness",41.9,2,1961,0.998,"Fagus","41"
"sims2mean41.Fitness.62","Fitness",41.9,2,1962,0.998,"Fagus","41"
"sims2mean41.Fitness.63","Fitness",41.9,2,1963,0.965,"Fagus","41"
"sims2mean41.Fitness.64","Fitness",41.9,2,1964,0.927,"Fagus","41"
"sims2mean41.Fitness.65","Fitness",41.9,2,1965,0.996,"Fagus","41"
"sims2mean41.Fitness.66","Fitness",41.9,2,1966,0.998,"Fagus","41"
"sims2mean41.Fitness.67","Fitness",41.9,2,1967,0.993,"Fagus","41"
"sims2mean41.Fitness.68","Fitness",41.9,2,1968,0.987,"Fagus","41"
"sims2mean41.Fitness.69","Fitness",41.9,2,1969,0.994,"Fagus","41"
"sims2mean41.Fitness.70","Fitness",41.9,2,1970,0.996,"Fagus","41"
"sims2mean41.Fitness.71","Fitness",41.9,2,1971,0.983,"Fagus","41"
"sims2mean41.Fitness.72","Fitness",41.9,2,1972,0.998,"Fagus","41"
"sims2mean41.Fitness.73","Fitness",41.9,2,1973,0.998,"Fagus","41"
"sims2mean41.Fitness.74","Fitness",41.9,2,1974,0.997,"Fagus","41"
"sims2mean41.Fitness.75","Fitness",41.9,2,1975,0.994,"Fagus","41"
"sims2mean41.Fitness.76","Fitness",41.9,2,1976,0.997,"Fagus","41"
"sims2mean41.Fitness.77","Fitness",41.9,2,1977,0.997,"Fagus","41"
"sims2mean41.Fitness.78","Fitness",41.9,2,1978,0.997,"Fagus","41"
"sims2mean41.Fitness.79","Fitness",41.9,2,1979,0.997,"Fagus","41"
"sims2mean41.Fitness.80","Fitness",41.9,2,1980,0.997,"Fagus","41"
"sims2mean41.Fitness.81","Fitness",41.9,2,1981,0.995,"Fagus","41"
"sims2mean41.Fitness.82","Fitness",41.9,2,1982,0.998,"Fagus","41"
"sims2mean41.Fitness.83","Fitness",41.9,2,1983,0.973,"Fagus","41"
"sims2mean41.Fitness.84","Fitness",41.9,2,1984,0.997,"Fagus","41"
"sims2mean41.Fitness.85","Fitness",41.9,2,1985,0.978,"Fagus","41"
"sims2mean41.Fitness.86","Fitness",41.9,2,1986,0.993,"Fagus","41"
"sims2mean41.Fitness.87","Fitness",41.9,2,1987,0.99,"Fagus","41"
"sims2mean41.Fitness.88","Fitness",41.9,2,1988,0.997,"Fagus","41"
"sims2mean41.Fitness.89","Fitness",41.9,2,1989,0.997,"Fagus","41"
"sims2mean41.Fitness.90","Fitness",41.9,2,1990,0.998,"Fagus","41"
"sims2mean41.Fitness.91","Fitness",41.9,2,1991,0.996,"Fagus","41"
"sims2mean41.Fitness.92","Fitness",41.9,2,1992,0.997,"Fagus","41"
"sims2mean41.Fitness.93","Fitness",41.9,2,1993,0.997,"Fagus","41"
"sims2mean41.Fitness.94","Fitness",41.9,2,1994,0.997,"Fagus","41"
"sims2mean41.Fitness.95","Fitness",41.9,2,1995,0.998,"Fagus","41"
"sims2mean41.Fitness.96","Fitness",41.9,2,1996,0.997,"Fagus","41"
"sims2mean41.Fitness.97","Fitness",41.9,2,1997,0.998,"Fagus","41"
"sims2mean41.Fitness.98","Fitness",41.9,2,1998,0.998,"Fagus","41"
"sims2mean41.Fitness.99","Fitness",41.9,2,1999,0.997,"Fagus","41"
"sims2mean41.Fitness.100","Fitness",41.9,2,2000,0.997,"Fagus","41"
"sims2mean41.Fitness.101","Fitness",41.9,3,1951,0.996,"Fagus","41"
"sims2mean41.Fitness.102","Fitness",41.9,3,1952,0.998,"Fagus","41"
"sims2mean41.Fitness.103","Fitness",41.9,3,1953,0.997,"Fagus","41"
"sims2mean41.Fitness.104","Fitness",41.9,3,1954,0.996,"Fagus","41"
"sims2mean41.Fitness.105","Fitness",41.9,3,1955,0.998,"Fagus","41"
"sims2mean41.Fitness.106","Fitness",41.9,3,1956,0.994,"Fagus","41"
"sims2mean41.Fitness.107","Fitness",41.9,3,1957,0.998,"Fagus","41"
"sims2mean41.Fitness.108","Fitness",41.9,3,1958,0.998,"Fagus","41"
"sims2mean41.Fitness.109","Fitness",41.9,3,1959,0.998,"Fagus","41"
"sims2mean41.Fitness.110","Fitness",41.9,3,1960,0.978,"Fagus","41"
"sims2mean41.Fitness.111","Fitness",41.9,3,1961,0.998,"Fagus","41"
"sims2mean41.Fitness.112","Fitness",41.9,3,1962,0.998,"Fagus","41"
"sims2mean41.Fitness.113","Fitness",41.9,3,1963,0.977,"Fagus","41"
"sims2mean41.Fitness.114","Fitness",41.9,3,1964,0.955,"Fagus","41"
"sims2mean41.Fitness.115","Fitness",41.9,3,1965,0.997,"Fagus","41"
"sims2mean41.Fitness.116","Fitness",41.9,3,1966,0.998,"Fagus","41"
"sims2mean41.Fitness.117","Fitness",41.9,3,1967,0.995,"Fagus","41"
"sims2mean41.Fitness.118","Fitness",41.9,3,1968,0.992,"Fagus","41"
"sims2mean41.Fitness.119","Fitness",41.9,3,1969,0.995,"Fagus","41"
"sims2mean41.Fitness.120","Fitness",41.9,3,1970,0.997,"Fagus","41"
"sims2mean41.Fitness.121","Fitness",41.9,3,1971,0.989,"Fagus","41"
"sims2mean41.Fitness.122","Fitness",41.9,3,1972,0.998,"Fagus","41"
"sims2mean41.Fitness.123","Fitness",41.9,3,1973,0.998,"Fagus","41"
"sims2mean41.Fitness.124","Fitness",41.9,3,1974,0.998,"Fagus","41"
"sims2mean41.Fitness.125","Fitness",41.9,3,1975,0.997,"Fagus","41"
"sims2mean41.Fitness.126","Fitness",41.9,3,1976,0.998,"Fagus","41"
"sims2mean41.Fitness.127","Fitness",41.9,3,1977,0.999,"Fagus","41"
"sims2mean41.Fitness.128","Fitness",41.9,3,1978,0.997,"Fagus","41"
"sims2mean41.Fitness.129","Fitness",41.9,3,1979,0.998,"Fagus","41"
"sims2mean41.Fitness.130","Fitness",41.9,3,1980,0.998,"Fagus","41"
"sims2mean41.Fitness.131","Fitness",41.9,3,1981,0.996,"Fagus","41"
"sims2mean41.Fitness.132","Fitness",41.9,3,1982,0.999,"Fagus","41"
"sims2mean41.Fitness.133","Fitness",41.9,3,1983,0.987,"Fagus","41"
"sims2mean41.Fitness.134","Fitness",41.9,3,1984,0.998,"Fagus","41"
"sims2mean41.Fitness.135","Fitness",41.9,3,1985,0.985,"Fagus","41"
"sims2mean41.Fitness.136","Fitness",41.9,3,1986,0.995,"Fagus","41"
"sims2mean41.Fitness.137","Fitness",41.9,3,1987,0.993,"Fagus","41"
"sims2mean41.Fitness.138","Fitness",41.9,3,1988,0.998,"Fagus","41"
"sims2mean41.Fitness.139","Fitness",41.9,3,1989,0.998,"Fagus","41"
"sims2mean41.Fitness.140","Fitness",41.9,3,1990,0.999,"Fagus","41"
"sims2mean41.Fitness.141","Fitness",41.9,3,1991,0.998,"Fagus","41"
"sims2mean41.Fitness.142","Fitness",41.9,3,1992,0.998,"Fagus","41"
"sims2mean41.Fitness.143","Fitness",41.9,3,1993,0.998,"Fagus","41"
"sims2mean41.Fitness.144","Fitness",41.9,3,1994,0.998,"Fagus","41"
"sims2mean41.Fitness.145","Fitness",41.9,3,1995,0.998,"Fagus","41"
"sims2mean41.Fitness.146","Fitness",41.9,3,1996,0.998,"Fagus","41"
"sims2mean41.Fitness.147","Fitness",41.9,3,1997,0.999,"Fagus","41"
"sims2mean41.Fitness.148","Fitness",41.9,3,1998,0.998,"Fagus","41"
"sims2mean41.Fitness.149","Fitness",41.9,3,1999,0.997,"Fagus","41"
"sims2mean41.Fitness.150","Fitness",41.9,3,2000,0.998,"Fagus","41"
"sims2mean41.Fitness.151","Fitness",41.9,4,1951,0.997,"Fagus","41"
"sims2mean41.Fitness.152","Fitness",41.9,4,1952,0.999,"Fagus","41"
"sims2mean41.Fitness.153","Fitness",41.9,4,1953,0.998,"Fagus","41"
"sims2mean41.Fitness.154","Fitness",41.9,4,1954,0.997,"Fagus","41"
"sims2mean41.Fitness.155","Fitness",41.9,4,1955,0,"Fagus","41"
"sims2mean41.Fitness.156","Fitness",41.9,4,1956,0.996,"Fagus","41"
"sims2mean41.Fitness.157","Fitness",41.9,4,1957,0.999,"Fagus","41"
"sims2mean41.Fitness.158","Fitness",41.9,4,1958,0.998,"Fagus","41"
"sims2mean41.Fitness.159","Fitness",41.9,4,1959,0,"Fagus","41"
"sims2mean41.Fitness.160","Fitness",41.9,4,1960,0.985,"Fagus","41"
"sims2mean41.Fitness.161","Fitness",41.9,4,1961,0.998,"Fagus","41"
"sims2mean41.Fitness.162","Fitness",41.9,4,1962,0.998,"Fagus","41"
"sims2mean41.Fitness.163","Fitness",41.9,4,1963,0.988,"Fagus","41"
"sims2mean41.Fitness.164","Fitness",41.9,4,1964,0.972,"Fagus","41"
"sims2mean41.Fitness.165","Fitness",41.9,4,1965,0.998,"Fagus","41"
"sims2mean41.Fitness.166","Fitness",41.9,4,1966,0.999,"Fagus","41"
"sims2mean41.Fitness.167","Fitness",41.9,4,1967,0.997,"Fagus","41"
"sims2mean41.Fitness.168","Fitness",41.9,4,1968,0.994,"Fagus","41"
"sims2mean41.Fitness.169","Fitness",41.9,4,1969,0.997,"Fagus","41"
"sims2mean41.Fitness.170","Fitness",41.9,4,1970,0.998,"Fagus","41"
"sims2mean41.Fitness.171","Fitness",41.9,4,1971,0.993,"Fagus","41"
"sims2mean41.Fitness.172","Fitness",41.9,4,1972,0.999,"Fagus","41"
"sims2mean41.Fitness.173","Fitness",41.9,4,1973,0.998,"Fagus","41"
"sims2mean41.Fitness.174","Fitness",41.9,4,1974,0.999,"Fagus","41"
"sims2mean41.Fitness.175","Fitness",41.9,4,1975,0.998,"Fagus","41"
"sims2mean41.Fitness.176","Fitness",41.9,4,1976,0.999,"Fagus","41"
"sims2mean41.Fitness.177","Fitness",41.9,4,1977,0.998,"Fagus","41"
"sims2mean41.Fitness.178","Fitness",41.9,4,1978,0.998,"Fagus","41"
"sims2mean41.Fitness.179","Fitness",41.9,4,1979,0.999,"Fagus","41"
"sims2mean41.Fitness.180","Fitness",41.9,4,1980,0.998,"Fagus","41"
"sims2mean41.Fitness.181","Fitness",41.9,4,1981,0.997,"Fagus","41"
"sims2mean41.Fitness.182","Fitness",41.9,4,1982,0.999,"Fagus","41"
"sims2mean41.Fitness.183","Fitness",41.9,4,1983,0.992,"Fagus","41"
"sims2mean41.Fitness.184","Fitness",41.9,4,1984,0.999,"Fagus","41"
"sims2mean41.Fitness.185","Fitness",41.9,4,1985,0.99,"Fagus","41"
"sims2mean41.Fitness.186","Fitness",41.9,4,1986,0.997,"Fagus","41"
"sims2mean41.Fitness.187","Fitness",41.9,4,1987,0.995,"Fagus","41"
"sims2mean41.Fitness.188","Fitness",41.9,4,1988,0.999,"Fagus","41"
"sims2mean41.Fitness.189","Fitness",41.9,4,1989,0.999,"Fagus","41"
"sims2mean41.Fitness.190","Fitness",41.9,4,1990,0,"Fagus","41"
"sims2mean41.Fitness.191","Fitness",41.9,4,1991,0.998,"Fagus","41"
"sims2mean41.Fitness.192","Fitness",41.9,4,1992,0.999,"Fagus","41"
"sims2mean41.Fitness.193","Fitness",41.9,4,1993,0.999,"Fagus","41"
"sims2mean41.Fitness.194","Fitness",41.9,4,1994,0.999,"Fagus","41"
"sims2mean41.Fitness.195","Fitness",41.9,4,1995,0,"Fagus","41"
"sims2mean41.Fitness.196","Fitness",41.9,4,1996,0.998,"Fagus","41"
"sims2mean41.Fitness.197","Fitness",41.9,4,1997,0,"Fagus","41"
"sims2mean41.Fitness.198","Fitness",41.9,4,1998,0.998,"Fagus","41"
"sims2mean41.Fitness.199","Fitness",41.9,4,1999,0.998,"Fagus","41"
"sims2mean41.Fitness.200","Fitness",41.9,4,2000,0.998,"Fagus","41"
"sims2mean41.Fitness.201","Fitness",41.9,5,1951,0.998,"Fagus","41"
"sims2mean41.Fitness.202","Fitness",41.9,5,1952,0.999,"Fagus","41"
"sims2mean41.Fitness.203","Fitness",41.9,5,1953,0.998,"Fagus","41"
"sims2mean41.Fitness.204","Fitness",41.9,5,1954,0,"Fagus","41"
"sims2mean41.Fitness.205","Fitness",41.9,5,1955,0,"Fagus","41"
"sims2mean41.Fitness.206","Fitness",41.9,5,1956,0,"Fagus","41"
"sims2mean41.Fitness.207","Fitness",41.9,5,1957,0.998,"Fagus","41"
"sims2mean41.Fitness.208","Fitness",41.9,5,1958,0.998,"Fagus","41"
"sims2mean41.Fitness.209","Fitness",41.9,5,1959,0,"Fagus","41"
"sims2mean41.Fitness.210","Fitness",41.9,5,1960,0,"Fagus","41"
"sims2mean41.Fitness.211","Fitness",41.9,5,1961,0,"Fagus","41"
"sims2mean41.Fitness.212","Fitness",41.9,5,1962,0,"Fagus","41"
"sims2mean41.Fitness.213","Fitness",41.9,5,1963,0.993,"Fagus","41"
"sims2mean41.Fitness.214","Fitness",41.9,5,1964,0,"Fagus","41"
"sims2mean41.Fitness.215","Fitness",41.9,5,1965,0.998,"Fagus","41"
"sims2mean41.Fitness.216","Fitness",41.9,5,1966,0,"Fagus","41"
"sims2mean41.Fitness.217","Fitness",41.9,5,1967,0.998,"Fagus","41"
"sims2mean41.Fitness.218","Fitness",41.9,5,1968,0.996,"Fagus","41"
"sims2mean41.Fitness.219","Fitness",41.9,5,1969,0,"Fagus","41"
"sims2mean41.Fitness.220","Fitness",41.9,5,1970,0.998,"Fagus","41"
"sims2mean41.Fitness.221","Fitness",41.9,5,1971,0.995,"Fagus","41"
"sims2mean41.Fitness.222","Fitness",41.9,5,1972,0.999,"Fagus","41"
"sims2mean41.Fitness.223","Fitness",41.9,5,1973,0.999,"Fagus","41"
"sims2mean41.Fitness.224","Fitness",41.9,5,1974,0,"Fagus","41"
"sims2mean41.Fitness.225","Fitness",41.9,5,1975,0.999,"Fagus","41"
"sims2mean41.Fitness.226","Fitness",41.9,5,1976,0.998,"Fagus","41"
"sims2mean41.Fitness.227","Fitness",41.9,5,1977,0,"Fagus","41"
"sims2mean41.Fitness.228","Fitness",41.9,5,1978,0.999,"Fagus","41"
"sims2mean41.Fitness.229","Fitness",41.9,5,1979,0.998,"Fagus","41"
"sims2mean41.Fitness.230","Fitness",41.9,5,1980,0.998,"Fagus","41"
"sims2mean41.Fitness.231","Fitness",41.9,5,1981,0.998,"Fagus","41"
"sims2mean41.Fitness.232","Fitness",41.9,5,1982,0,"Fagus","41"
"sims2mean41.Fitness.233","Fitness",41.9,5,1983,0.994,"Fagus","41"
"sims2mean41.Fitness.234","Fitness",41.9,5,1984,0.998,"Fagus","41"
"sims2mean41.Fitness.235","Fitness",41.9,5,1985,0.992,"Fagus","41"
"sims2mean41.Fitness.236","Fitness",41.9,5,1986,0.998,"Fagus","41"
"sims2mean41.Fitness.237","Fitness",41.9,5,1987,0.997,"Fagus","41"
"sims2mean41.Fitness.238","Fitness",41.9,5,1988,0,"Fagus","41"
"sims2mean41.Fitness.239","Fitness",41.9,5,1989,0.999,"Fagus","41"
"sims2mean41.Fitness.240","Fitness",41.9,5,1990,0,"Fagus","41"
"sims2mean41.Fitness.241","Fitness",41.9,5,1991,0.999,"Fagus","41"
"sims2mean41.Fitness.242","Fitness",41.9,5,1992,0.999,"Fagus","41"
"sims2mean41.Fitness.243","Fitness",41.9,5,1993,0.998,"Fagus","41"
"sims2mean41.Fitness.244","Fitness",41.9,5,1994,0.999,"Fagus","41"
"sims2mean41.Fitness.245","Fitness",41.9,5,1995,0,"Fagus","41"
"sims2mean41.Fitness.246","Fitness",41.9,5,1996,0,"Fagus","41"
"sims2mean41.Fitness.247","Fitness",41.9,5,1997,0,"Fagus","41"
"sims2mean41.Fitness.248","Fitness",41.9,5,1998,0,"Fagus","41"
"sims2mean41.Fitness.249","Fitness",41.9,5,1999,0.999,"Fagus","41"
"sims2mean41.Fitness.250","Fitness",41.9,5,2000,0.998,"Fagus","41"
"sims2mean41.Fitness.251","Fitness",41.9,6,1951,0.998,"Fagus","41"
"sims2mean41.Fitness.252","Fitness",41.9,6,1952,0,"Fagus","41"
"sims2mean41.Fitness.253","Fitness",41.9,6,1953,0.999,"Fagus","41"
"sims2mean41.Fitness.254","Fitness",41.9,6,1954,0,"Fagus","41"
"sims2mean41.Fitness.255","Fitness",41.9,6,1955,0,"Fagus","41"
"sims2mean41.Fitness.256","Fitness",41.9,6,1956,0,"Fagus","41"
"sims2mean41.Fitness.257","Fitness",41.9,6,1957,0,"Fagus","41"
"sims2mean41.Fitness.258","Fitness",41.9,6,1958,0,"Fagus","41"
"sims2mean41.Fitness.259","Fitness",41.9,6,1959,0,"Fagus","41"
"sims2mean41.Fitness.260","Fitness",41.9,6,1960,0,"Fagus","41"
"sims2mean41.Fitness.261","Fitness",41.9,6,1961,0,"Fagus","41"
"sims2mean41.Fitness.262","Fitness",41.9,6,1962,0,"Fagus","41"
"sims2mean41.Fitness.263","Fitness",41.9,6,1963,0.995,"Fagus","41"
"sims2mean41.Fitness.264","Fitness",41.9,6,1964,0,"Fagus","41"
"sims2mean41.Fitness.265","Fitness",41.9,6,1965,0.998,"Fagus","41"
"sims2mean41.Fitness.266","Fitness",41.9,6,1966,0,"Fagus","41"
"sims2mean41.Fitness.267","Fitness",41.9,6,1967,0,"Fagus","41"
"sims2mean41.Fitness.268","Fitness",41.9,6,1968,0,"Fagus","41"
"sims2mean41.Fitness.269","Fitness",41.9,6,1969,0,"Fagus","41"
"sims2mean41.Fitness.270","Fitness",41.9,6,1970,0,"Fagus","41"
"sims2mean41.Fitness.271","Fitness",41.9,6,1971,0,"Fagus","41"
"sims2mean41.Fitness.272","Fitness",41.9,6,1972,0,"Fagus","41"
"sims2mean41.Fitness.273","Fitness",41.9,6,1973,0,"Fagus","41"
"sims2mean41.Fitness.274","Fitness",41.9,6,1974,0,"Fagus","41"
"sims2mean41.Fitness.275","Fitness",41.9,6,1975,0,"Fagus","41"
"sims2mean41.Fitness.276","Fitness",41.9,6,1976,0,"Fagus","41"
"sims2mean41.Fitness.277","Fitness",41.9,6,1977,0,"Fagus","41"
"sims2mean41.Fitness.278","Fitness",41.9,6,1978,0,"Fagus","41"
"sims2mean41.Fitness.279","Fitness",41.9,6,1979,0,"Fagus","41"
"sims2mean41.Fitness.280","Fitness",41.9,6,1980,0,"Fagus","41"
"sims2mean41.Fitness.281","Fitness",41.9,6,1981,0.999,"Fagus","41"
"sims2mean41.Fitness.282","Fitness",41.9,6,1982,0,"Fagus","41"
"sims2mean41.Fitness.283","Fitness",41.9,6,1983,0,"Fagus","41"
"sims2mean41.Fitness.284","Fitness",41.9,6,1984,0.998,"Fagus","41"
"sims2mean41.Fitness.285","Fitness",41.9,6,1985,0,"Fagus","41"
"sims2mean41.Fitness.286","Fitness",41.9,6,1986,0.998,"Fagus","41"
"sims2mean41.Fitness.287","Fitness",41.9,6,1987,0,"Fagus","41"
"sims2mean41.Fitness.288","Fitness",41.9,6,1988,0,"Fagus","41"
"sims2mean41.Fitness.289","Fitness",41.9,6,1989,0,"Fagus","41"
"sims2mean41.Fitness.290","Fitness",41.9,6,1990,0,"Fagus","41"
"sims2mean41.Fitness.291","Fitness",41.9,6,1991,0,"Fagus","41"
"sims2mean41.Fitness.292","Fitness",41.9,6,1992,0,"Fagus","41"
"sims2mean41.Fitness.293","Fitness",41.9,6,1993,0,"Fagus","41"
"sims2mean41.Fitness.294","Fitness",41.9,6,1994,0,"Fagus","41"
"sims2mean41.Fitness.295","Fitness",41.9,6,1995,0,"Fagus","41"
"sims2mean41.Fitness.296","Fitness",41.9,6,1996,0,"Fagus","41"
"sims2mean41.Fitness.297","Fitness",41.9,6,1997,0,"Fagus","41"
"sims2mean41.Fitness.298","Fitness",41.9,6,1998,0,"Fagus","41"
"sims2mean41.Fitness.299","Fitness",41.9,6,1999,0,"Fagus","41"
"sims2mean41.Fitness.300","Fitness",41.9,6,2000,0,"Fagus","41"
"sims2mean41.Survival.1","Survival",41.9,1,1951,1,"Fagus","41"
"sims2mean41.Survival.2","Survival",41.9,1,1952,1,"Fagus","41"
"sims2mean41.Survival.3","Survival",41.9,1,1953,1,"Fagus","41"
"sims2mean41.Survival.4","Survival",41.9,1,1954,1,"Fagus","41"
"sims2mean41.Survival.5","Survival",41.9,1,1955,1,"Fagus","41"
"sims2mean41.Survival.6","Survival",41.9,1,1956,1,"Fagus","41"
"sims2mean41.Survival.7","Survival",41.9,1,1957,1,"Fagus","41"
"sims2mean41.Survival.8","Survival",41.9,1,1958,1,"Fagus","41"
"sims2mean41.Survival.9","Survival",41.9,1,1959,1,"Fagus","41"
"sims2mean41.Survival.10","Survival",41.9,1,1960,1,"Fagus","41"
"sims2mean41.Survival.11","Survival",41.9,1,1961,1,"Fagus","41"
"sims2mean41.Survival.12","Survival",41.9,1,1962,1,"Fagus","41"
"sims2mean41.Survival.13","Survival",41.9,1,1963,1,"Fagus","41"
"sims2mean41.Survival.14","Survival",41.9,1,1964,1,"Fagus","41"
"sims2mean41.Survival.15","Survival",41.9,1,1965,1,"Fagus","41"
"sims2mean41.Survival.16","Survival",41.9,1,1966,1,"Fagus","41"
"sims2mean41.Survival.17","Survival",41.9,1,1967,1,"Fagus","41"
"sims2mean41.Survival.18","Survival",41.9,1,1968,1,"Fagus","41"
"sims2mean41.Survival.19","Survival",41.9,1,1969,1,"Fagus","41"
"sims2mean41.Survival.20","Survival",41.9,1,1970,1,"Fagus","41"
"sims2mean41.Survival.21","Survival",41.9,1,1971,1,"Fagus","41"
"sims2mean41.Survival.22","Survival",41.9,1,1972,1,"Fagus","41"
"sims2mean41.Survival.23","Survival",41.9,1,1973,1,"Fagus","41"
"sims2mean41.Survival.24","Survival",41.9,1,1974,1,"Fagus","41"
"sims2mean41.Survival.25","Survival",41.9,1,1975,1,"Fagus","41"
"sims2mean41.Survival.26","Survival",41.9,1,1976,1,"Fagus","41"
"sims2mean41.Survival.27","Survival",41.9,1,1977,1,"Fagus","41"
"sims2mean41.Survival.28","Survival",41.9,1,1978,1,"Fagus","41"
"sims2mean41.Survival.29","Survival",41.9,1,1979,1,"Fagus","41"
"sims2mean41.Survival.30","Survival",41.9,1,1980,1,"Fagus","41"
"sims2mean41.Survival.31","Survival",41.9,1,1981,1,"Fagus","41"
"sims2mean41.Survival.32","Survival",41.9,1,1982,1,"Fagus","41"
"sims2mean41.Survival.33","Survival",41.9,1,1983,1,"Fagus","41"
"sims2mean41.Survival.34","Survival",41.9,1,1984,1,"Fagus","41"
"sims2mean41.Survival.35","Survival",41.9,1,1985,1,"Fagus","41"
"sims2mean41.Survival.36","Survival",41.9,1,1986,1,"Fagus","41"
"sims2mean41.Survival.37","Survival",41.9,1,1987,1,"Fagus","41"
"sims2mean41.Survival.38","Survival",41.9,1,1988,1,"Fagus","41"
"sims2mean41.Survival.39","Survival",41.9,1,1989,1,"Fagus","41"
